ID,First Name,Last Name,Age,Gender,Grade,Email
1001,Emma,Johnson,16,F,A-,emma.johnson@example.com
1002,Liam,Williams,17,M,B+,liam.williams@example.com
1003,Olivia,Brown,16,F,A,olivia.brown@example.com
1004,Noah,Jones,15,M,B,noah.jones@example.com
1005,Ava,Garcia,17,F,A+,ava.garcia@example.com
1006,Elijah,Miller,16,M,B-,elijah.miller@example.com
1007,Sophia,Davis,16,F,A,sophia.davis@example.com
1008,James,Martinez,15,M,C+,james.martinez@example.com
1009,Isabella,Hernandez,17,F,A-,isabella.hernandez@example.com
1010,Benjamin,Lopez,16,M,B+,benjamin.lopez@example.com
